subject;stimulus_identity
      145;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      147;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      149;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      150;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      151;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
      153;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
  6136792;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
230832027;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
426868661;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
442487679;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
470389932;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
489059492;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
504264674;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
563770584;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
761884654;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
934322159;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
