ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
        2;-0,64190468;Learning_Inconsistent_First; 0,64190468
        5; 0,78142029;Learning_Consistent_First; 0,78142029
        6;-0,01087521;Learning_Inconsistent_First; 0,01087521
        8; 0,53477740;Learning_Inconsistent_First;-0,53477740
       11; 0,10965084;Learning_Consistent_First; 0,10965084
       14;-0,11009043;Learning_Inconsistent_First; 0,11009043
       15; 0,64383676;Learning_Consistent_First; 0,64383676
       19; 0,53267272;Learning_Consistent_First; 0,53267272
       23; 0,16576619;Learning_Consistent_First; 0,16576619
       25;-0,35961800;Learning_Consistent_First;-0,35961800
       26; 0,08407237;Learning_Inconsistent_First;-0,08407237
       28; 0,30864891;Learning_Inconsistent_First;-0,30864891
       29; 0,48749564;Learning_Consistent_First; 0,48749564
       31; 0,59203395;Learning_Consistent_First; 0,59203395
       32; 0,28890084;Learning_Inconsistent_First;-0,28890084
       34; 0,18893780;Learning_Inconsistent_First;-0,18893780
       35; 0,63062273;Learning_Consistent_First; 0,63062273
       36;-0,04490879;Learning_Inconsistent_First; 0,04490879
       40; 0,56180473;Learning_Inconsistent_First;-0,56180473
       41;-0,43259372;Learning_Consistent_First;-0,43259372
       42;-0,24310433;Learning_Inconsistent_First; 0,24310433
       43;-0,35328774;Learning_Consistent_First;-0,35328774
       46; 0,23462608;Learning_Inconsistent_First;-0,23462608
       47;-0,04777397;Learning_Consistent_First;-0,04777397
       48; 0,40804466;Learning_Inconsistent_First;-0,40804466
       49; 0,21939612;Learning_Consistent_First; 0,21939612
       53;-0,21950467;Learning_Consistent_First;-0,21950467
       56; 0,34896974;Learning_Inconsistent_First;-0,34896974
       57;-0,08536175;Learning_Consistent_First;-0,08536175
       59; 0,53455284;Learning_Consistent_First; 0,53455284
       61; 0,22715287;Learning_Consistent_First; 0,22715287
       62;-0,40197482;Learning_Inconsistent_First; 0,40197482
       63; 0,26317964;Learning_Consistent_First; 0,26317964
       65; 0,52127418;Learning_Consistent_First; 0,52127418
       69; 1,03105938;Learning_Consistent_First; 1,03105938
       71; 0,16826993;Learning_Consistent_First; 0,16826993
       72;-0,10102276;Learning_Inconsistent_First; 0,10102276
       74;-0,69509697;Learning_Inconsistent_First; 0,69509697
       75; 0,36625586;Learning_Consistent_First; 0,36625586
       76; 0,11820711;Learning_Inconsistent_First;-0,11820711
       77;-0,04051304;Learning_Consistent_First;-0,04051304
       78; 0,38530058;Learning_Inconsistent_First;-0,38530058
       79; 0,64552466;Learning_Consistent_First; 0,64552466
       81; 0,39825946;Learning_Consistent_First; 0,39825946
       82; 0,22478745;Learning_Inconsistent_First;-0,22478745
       83; 0,65426381;Learning_Consistent_First; 0,65426381
       84;-0,46039169;Learning_Inconsistent_First; 0,46039169
