experiment,OR,OR_ci_lower,OR_ci_upper,p,reportable_result
1,1.36,0.49,3.76,0.6114269519643283,"OR = 1.36, 95% CI [0.49, 3.76], p = .6114"
2,0.55,0.19,1.54,0.3016911434209988,"OR = 0.55, 95% CI [0.19, 1.54], p = .3017"
3,0.78,0.26,2.31,0.7826614858320377,"OR = 0.78, 95% CI [0.26, 2.31], p = .7827"
4,0.62,0.19,2.1,0.544954494295341,"OR = 0.62, 95% CI [0.19, 2.1], p = .545"
7,0.9,0.43,1.88,0.8529040699691978,"OR = 0.9, 95% CI [0.43, 1.88], p = .8529"
