experiment,OR,OR_ci_lower,OR_ci_upper,p,reportable_result
5,1.6,0.57,4.46,0.44249532002641984,"OR = 1.6, 95% CI [0.57, 4.46], p = .4425"
6,2.77,0.92,8.32,0.10006961769711535,"OR = 2.77, 95% CI [0.92, 8.32], p = .1001"
7,0.61,0.3,1.23,0.21070973234005896,"OR = 0.61, 95% CI [0.3, 1.23], p = .2107"
