experiment,DV_type,mean_reference,mean_comaprison,t,df,p,cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,bf10,reportable_result
1,IAT_D2,0.11642104214342076,-0.2382883227232987,3.781845361482713,44.43364945065527,4.6178660746985236e-4,1.0708686986029583,0.4716998076432285,1.6700375895626882,74.72442661281663,"Reference group M = 0.12, comparison group M = -0.24, t(44.43) = 3.78, p = 5e-04, d = 1.07, 95% CI [0.47, 1.67], BF10 = 74.7"
1,self_reported_IR_effect,1.3522727272727273,-0.75,1.8969171616046008,47.551158091909905,0.06392167659131452,0.5282848551079141,-0.04952806656124897,1.1060977767770772,1.1569096175358198,"Reference group M = 1.35, comparison group M = -0.75, t(47.55) = 1.9, p = .0639, d = 0.53, 95% CI [-0.05, 1.11], BF10 = 1.2"
1,self_reported_OEC_effect,2.8181818181818183,-2.5775862068965516,4.907422912272823,47.93394127966333,1.1070905735177144e-5,1.3098177498719656,0.6847231228988065,1.9349123768451246,689.0540885203587,"Reference group M = 2.82, comparison group M = -2.58, t(47.93) = 4.91, p < .0001, d = 1.31, 95% CI [0.68, 1.93], BF10 = 689.1"
2,IAT_D2,0.11752710788198832,-0.11727857122317717,1.9059886804023478,50.18814307951789,0.06238668339553153,0.5185907704658665,-0.03354782191928385,1.0707293628510168,1.2208784676280588,"Reference group M = 0.12, comparison group M = -0.12, t(50.19) = 1.91, p = .0624, d = 0.52, 95% CI [-0.03, 1.07], BF10 = 1.2"
2,self_reported_IR_effect,1.3083333333333333,-1.04,2.607232261554273,45.88402024059691,0.012272870888560161,0.720087142475581,0.15974330334092768,1.2804309816102344,4.653127102440375,"Reference group M = 1.31, comparison group M = -1.04, t(45.88) = 2.61, p = .0123, d = 0.72, 95% CI [0.16, 1.28], BF10 = 4.7"
2,self_reported_OEC_effect,1.6583333333333334,-3.84,5.850454672141973,35.55740629094396,1.1497449691322184e-6,1.6659806206257615,1.0362751605589935,2.2956860806925294,104022.36010911093,"Reference group M = 1.66, comparison group M = -3.84, t(35.56) = 5.85, p < .0001, d = 1.67, 95% CI [1.04, 2.3], BF10 = 104022.4"
3,IAT_D2,0.4017290975369557,-0.17373688044601668,4.5982868516429924,36.26561881088202,5.0236549853442046e-5,1.3881118480231946,0.7334233586847807,2.0428003373616086,855.9952437271551,"Reference group M = 0.4, comparison group M = -0.17, t(36.27) = 4.6, p < .0001, d = 1.39, 95% CI [0.73, 2.04], BF10 = 856"
3,self_reported_IR_effect,2.75,-2.6785714285714284,5.683601507120107,40.33974287269414,1.2815138185653215e-6,1.6722975863853309,0.9901507019196003,2.3544444708510612,16042.012853607332,"Reference group M = 2.75, comparison group M = -2.68, t(40.34) = 5.68, p < .0001, d = 1.67, 95% CI [0.99, 2.35], BF10 = 16042"
3,self_reported_OEC_effect,3.475,-3.1339285714285716,6.082289206779337,43.973439067462614,2.559818540970198e-7,1.7417400100049063,1.0522978712276578,2.4311821487821548,33638.66373565911,"Reference group M = 3.48, comparison group M = -3.13, t(43.97) = 6.08, p < .0001, d = 1.74, 95% CI [1.05, 2.43], BF10 = 33638.7"
4,IAT_D2,0.2161319864509922,-0.1462774064561117,3.3933354959789424,39.60441570185583,0.0015793265602689203,0.9874961819602175,0.38290899291330327,1.5920833710071318,28.849467311016788,"Reference group M = 0.22, comparison group M = -0.15, t(39.6) = 3.39, p = .0016, d = 0.99, 95% CI [0.38, 1.59], BF10 = 28.8"
4,self_reported_IR_effect,0.9166666666666666,-2.75,3.033241097183706,48.24286475631002,0.0038880767876029276,0.8273473930791223,0.2323529160488853,1.4223418701093593,7.79632001510893,"Reference group M = 0.92, comparison group M = -2.75, t(48.24) = 3.03, p = .0039, d = 0.83, 95% CI [0.23, 1.42], BF10 = 7.8"
4,self_reported_OEC_effect,2.5238095238095237,-4.466666666666667,6.243418292343726,40.05038885666537,2.138601887811463e-7,1.8119359122889889,1.1359901029016148,2.487881721676363,160446.3236109514,"Reference group M = 2.52, comparison group M = -4.47, t(40.05) = 6.24, p < .0001, d = 1.81, 95% CI [1.14, 2.49], BF10 = 160446.3"
5,IAT_D2,0.31699643652326237,-0.2131182910135169,4.4547934998813865,37.18860367419481,7.427806035846991e-5,1.3490030131917896,0.6885292631101821,2.009476763273397,473.6917008264672,"Reference group M = 0.32, comparison group M = -0.21, t(37.19) = 4.45, p < .0001, d = 1.35, 95% CI [0.69, 2.01], BF10 = 473.7"
5,self_reported_IR_effect,2.9047619047619047,-1.11,3.150150335613392,41.19738317534202,0.0030358416802048235,0.9393785263356087,0.31101451715246387,1.5677425355187535,13.623315685643973,"Reference group M = 2.9, comparison group M = -1.11, t(41.2) = 3.15, p = .003, d = 0.94, 95% CI [0.31, 1.57], BF10 = 13.6"
5,self_reported_OEC_effect,4.035714285714286,-3.25,5.536328624764734,42.856225262971414,1.7367798737603438e-6,1.6365577625291006,0.9479882203375761,2.325127304720625,8147.694591225475,"Reference group M = 4.04, comparison group M = -3.25, t(42.86) = 5.54, p < .0001, d = 1.64, 95% CI [0.95, 2.33], BF10 = 8147.7"
6,IAT_D2,0.20044669912305105,-0.31814943441001287,3.612180810289303,32.1541118613769,0.0010218428826457378,1.167107566203298,0.47494030886083616,1.8592748235457597,41.70340600223445,"Reference group M = 0.2, comparison group M = -0.32, t(32.15) = 3.61, p = .001, d = 1.17, 95% CI [0.47, 1.86], BF10 = 41.7"
6,self_reported_IR_effect,1.6875,-2.073529411764706,3.1734708536246052,38.99992221387357,0.0029363889993471106,0.9476889150103214,0.272452974093369,1.6229248559272738,8.746609392062089,"Reference group M = 1.69, comparison group M = -2.07, t(39) = 3.17, p = .0029, d = 0.95, 95% CI [0.27, 1.62], BF10 = 8.7"
6,self_reported_OEC_effect,2.2916666666666665,-2,3.274508814293414,35.563370494802165,0.0023630989797332317,1.0298098987956368,0.3486006715973472,1.7110191259939262,15.294235223789181,"Reference group M = 2.29, comparison group M = -2, t(35.56) = 3.27, p = .0024, d = 1.03, 95% CI [0.35, 1.71], BF10 = 15.3"
7,IAT_D2,0.1364720980465788,-0.16148241773667693,4.017346489660996,102.51254481232314,1.1240795992452139e-4,0.784516536575812,0.38279178194459396,1.18624129120703,199.88214562389317,"Reference group M = 0.14, comparison group M = -0.16, t(102.51) = 4.02, p = 1e-04, d = 0.78, 95% CI [0.38, 1.19], BF10 = 199.9"
7,self_reported_IR_effect,1,-0.3584905660377358,2.2436355551532436,98.24311927977814,0.027101082882594194,0.43878084692785707,0.047039753792291084,0.8305219400634231,1.9133363805856523,"Reference group M = 1, comparison group M = -0.36, t(98.24) = 2.24, p = .0271, d = 0.44, 95% CI [0.05, 0.83], BF10 = 1.9"
7,self_reported_OEC_effect,1.7115384615384615,-1.8443396226415094,5.472951563354825,98.68913038294988,3.3626082323081403e-7,1.0702140690813957,0.6563206681053632,1.4841074700574284,42442.45515652162,"Reference group M = 1.71, comparison group M = -1.84, t(98.69) = 5.47, p < .0001, d = 1.07, 95% CI [0.66, 1.48], BF10 = 42442.5"
