ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
        3; 0,46020945;Learning_Consistent_First; 0,46020945
        4; 0,40585587;Learning_Inconsistent_First;-0,40585587
        6; 0,21178677;Learning_Inconsistent_First;-0,21178677
        7; 0,47163021;Learning_Consistent_First; 0,47163021
        8; 0,13290554;Learning_Inconsistent_First;-0,13290554
        9;-0,37617211;Learning_Consistent_First;-0,37617211
       11; 0,48886845;Learning_Consistent_First; 0,48886845
       16;-0,22309411;Learning_Inconsistent_First; 0,22309411
       17;-0,03656596;Learning_Consistent_First;-0,03656596
       20; 0,60305275;Learning_Inconsistent_First;-0,60305275
       21; 0,70810924;Learning_Consistent_First; 0,70810924
       23; 0,50530973;Learning_Consistent_First; 0,50530973
       27; 0,25506368;Learning_Consistent_First; 0,25506368
       28; 0,39752186;Learning_Inconsistent_First;-0,39752186
       29;-0,06382166;Learning_Consistent_First;-0,06382166
       30; 0,86218681;Learning_Inconsistent_First;-0,86218681
       31;-0,13711264;Learning_Consistent_First;-0,13711264
       33;-0,03705733;Learning_Consistent_First;-0,03705733
       35; 0,70933089;Learning_Consistent_First; 0,70933089
       36;-0,32722562;Learning_Inconsistent_First; 0,32722562
       38; 0,19701183;Learning_Inconsistent_First;-0,19701183
       41; 0,41880430;Learning_Consistent_First; 0,41880430
       43; 0,53212756;Learning_Consistent_First; 0,53212756
       44;-0,57725410;Learning_Inconsistent_First; 0,57725410
       46;-0,44616324;Learning_Inconsistent_First; 0,44616324
       47; 0,25721862;Learning_Consistent_First; 0,25721862
       49; 0,70516830;Learning_Consistent_First; 0,70516830
       53; 0,37263441;Learning_Consistent_First; 0,37263441
       54; 0,66900071;Learning_Inconsistent_First;-0,66900071
       57;-0,23289889;Learning_Consistent_First;-0,23289889
       58;-0,15200905;Learning_Inconsistent_First; 0,15200905
       60; 0,48907025;Learning_Inconsistent_First;-0,48907025
       61;-0,02174795;Learning_Consistent_First;-0,02174795
       62; 0,33633241;Learning_Inconsistent_First;-0,33633241
       64;-0,04547726;Learning_Inconsistent_First; 0,04547726
       68; 0,62795667;Learning_Inconsistent_First;-0,62795667
       71; 0,42872119;Learning_Consistent_First; 0,42872119
       72; 0,15484180;Learning_Inconsistent_First;-0,15484180
       73; 0,51980189;Learning_Consistent_First; 0,51980189
       75; 0,01944563;Learning_Consistent_First; 0,01944563
       76;-0,25049781;Learning_Inconsistent_First; 0,25049781
       77; 0,29168917;Learning_Consistent_First; 0,29168917
       78; 0,89836367;Learning_Inconsistent_First;-0,89836367
       79;-0,25891840;Learning_Consistent_First;-0,25891840
       82; 0,97868302;Learning_Inconsistent_First;-0,97868302
       84; 0,04165175;Learning_Inconsistent_First;-0,04165175
       87; 0,72289057;Learning_Consistent_First; 0,72289057
       90; 0,62482804;Learning_Inconsistent_First;-0,62482804
       91; 0,38926805;Learning_Consistent_First; 0,38926805
       92;-0,12962391;Learning_Inconsistent_First; 0,12962391
       93; 0,32816360;Learning_Consistent_First; 0,32816360
       94; 0,20616170;Learning_Inconsistent_First;-0,20616170
       95; 0,54159619;Learning_Consistent_First; 0,54159619
       98;-0,26366573;Learning_Inconsistent_First; 0,26366573
      100; 0,56984182;Learning_Inconsistent_First;-0,56984182
      102; 0,22872594;Learning_Inconsistent_First;-0,22872594
      103; 0,25592467;Learning_Consistent_First; 0,25592467
      104; 0,56344130;Learning_Inconsistent_First;-0,56344130
      106;-0,63187558;Learning_Inconsistent_First; 0,63187558
      109; 0,02656556;Learning_Consistent_First; 0,02656556
      110; 0,66156516;Learning_Inconsistent_First;-0,66156516
      111; 0,73096255;Learning_Consistent_First; 0,73096255
      114; 0,34117389;Learning_Inconsistent_First;-0,34117389
      117;-0,58773740;Learning_Consistent_First;-0,58773740
      120; 0,79139812;Learning_Inconsistent_First;-0,79139812
      123; 0,36962602;Learning_Consistent_First; 0,36962602
      125; 0,08975168;Learning_Consistent_First; 0,08975168
      126; 0,27337680;Learning_Inconsistent_First;-0,27337680
      127; 0,41227943;Learning_Consistent_First; 0,41227943
      130;-0,35031534;Learning_Inconsistent_First; 0,35031534
      131;-0,28474587;Learning_Consistent_First;-0,28474587
      132;-0,88179265;Learning_Inconsistent_First; 0,88179265
      133; 0,37303962;Learning_Consistent_First; 0,37303962
      136; 0,46718096;Learning_Inconsistent_First;-0,46718096
      137; 0,91121175;Learning_Consistent_First; 0,91121175
      141; 0,04787246;Learning_Consistent_First; 0,04787246
      143; 0,31662304;Learning_Consistent_First; 0,31662304
      148; 0,44062414;Learning_Inconsistent_First;-0,44062414
      149;-0,19934202;Learning_Consistent_First;-0,19934202
      151; 0,34070197;Learning_Consistent_First; 0,34070197
      152;-0,69073690;Learning_Inconsistent_First; 0,69073690
      153; 0,41589081;Learning_Consistent_First; 0,41589081
      154;-0,02034954;Learning_Inconsistent_First; 0,02034954
      157; 0,34816804;Learning_Consistent_First; 0,34816804
      160; 0,22574849;Learning_Inconsistent_First;-0,22574849
      163; 0,64710133;Learning_Consistent_First; 0,64710133
      164;-0,32253213;Learning_Inconsistent_First; 0,32253213
 52162361; 0,01747169;Learning_Consistent_First; 0,01747169
343483196;-0,15684390;Learning_Inconsistent_First; 0,15684390
459244001; 0,83973057;Learning_Consistent_First; 0,83973057
514757468; 0,27417754;Learning_Inconsistent_First;-0,27417754
547854617;-0,02599598;Learning_Consistent_First;-0,02599598
617687584; 0,26304451;Learning_Inconsistent_First;-0,26304451
800342016; 0,24174687;Learning_Inconsistent_First;-0,24174687
950704713; 0,43178683;Learning_Consistent_First; 0,43178683
992945207; 0,37152475;Learning_Consistent_First; 0,37152475
