subject;stimulus_identity
  2;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  3;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  4;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  5;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  6;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  7;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  8;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  9;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 11;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 12;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 14;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 16;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 17;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 18;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 19;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 21;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 22;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 23;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 24;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 27;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 28;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 30;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 32;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 33;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 35;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 36;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 37;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 39;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 43;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 45;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 47;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 49;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 50;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 52;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 54;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 55;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 56;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 57;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
