ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
124871589; 0,15483744;Learning_Consistent_First; 0,15483744
275096289; 0,08181191;Learning_Consistent_First; 0,08181191
379601181; 0,17560385;Learning_Consistent_First; 0,17560385
455981307;-0,09988263;Learning_Consistent_First;-0,09988263
500854408;-0,22211830;Learning_Inconsistent_First; 0,22211830
556411884;-0,22312460;Learning_Inconsistent_First; 0,22312460
616538237; 0,50648573;Learning_Consistent_First; 0,50648573
750356114; 0,39438328;Learning_Inconsistent_First;-0,39438328
888776896;-0,02534651;Learning_Inconsistent_First; 0,02534651
905546448; 0,68089741;Learning_Inconsistent_First;-0,68089741
905546452; 0,29346782;Learning_Inconsistent_First;-0,29346782
905546453;-0,28428834;Learning_Consistent_First;-0,28428834
905546455; 0,46400268;Learning_Consistent_First; 0,46400268
905546456;-0,09579402;Learning_Inconsistent_First; 0,09579402
905546465; 0,74979748;Learning_Consistent_First; 0,74979748
905546467; 0,21239482;Learning_Consistent_First; 0,21239482
905546469;-0,25139469;Learning_Consistent_First;-0,25139469
905546472; 0,63837532;Learning_Inconsistent_First;-0,63837532
905546474;-0,14188287;Learning_Inconsistent_First; 0,14188287
905546477; 0,43801962;Learning_Consistent_First; 0,43801962
905546480;-0,65079210;Learning_Inconsistent_First; 0,65079210
905546484; 0,27886741;Learning_Inconsistent_First;-0,27886741
905546486; 0,36246752;Learning_Inconsistent_First;-0,36246752
905546487;-0,49799274;Learning_Consistent_First;-0,49799274
905546488; 0,59133376;Learning_Inconsistent_First;-0,59133376
905546489; 0,15009485;Learning_Consistent_First; 0,15009485
905546490; 0,15312019;Learning_Inconsistent_First;-0,15312019
905546491;-0,03353310;Learning_Consistent_First;-0,03353310
905546492; 0,13248948;Learning_Inconsistent_First;-0,13248948
905546493; 0,36035513;Learning_Consistent_First; 0,36035513
905546494; 0,26345691;Learning_Inconsistent_First;-0,26345691
905546495; 0,57876678;Learning_Consistent_First; 0,57876678
905546498;-0,19237116;Learning_Inconsistent_First; 0,19237116
905546499; 0,14908396;Learning_Consistent_First; 0,14908396
905546502; 0,23529187;Learning_Inconsistent_First;-0,23529187
905546503; 0,60819187;Learning_Consistent_First; 0,60819187
905546504; 0,18426623;Learning_Inconsistent_First;-0,18426623
905546505;-0,29017124;Learning_Consistent_First;-0,29017124
905546506; 0,34888132;Learning_Inconsistent_First;-0,34888132
905546510; 0,44937469;Learning_Inconsistent_First;-0,44937469
905546514; 0,44064972;Learning_Inconsistent_First;-0,44064972
905546515; 0,04947828;Learning_Consistent_First; 0,04947828
905546516; 0,37801937;Learning_Inconsistent_First;-0,37801937
905546517;-0,30466472;Learning_Consistent_First;-0,30466472
905546518; 0,50359524;Learning_Inconsistent_First;-0,50359524
905546519;-0,15822884;Learning_Consistent_First;-0,15822884
905546520; 0,10574477;Learning_Inconsistent_First;-0,10574477
905546521;-1,05443688;Learning_Consistent_First;-1,05443688
905546523; 0,15431217;Learning_Consistent_First; 0,15431217
905546524;-0,41697158;Learning_Inconsistent_First; 0,41697158
905546525; 0,01076446;Learning_Consistent_First; 0,01076446
905546526; 0,26900012;Learning_Inconsistent_First;-0,26900012
905546528; 0,14376329;Learning_Inconsistent_First;-0,14376329
905546529;-0,55341188;Learning_Consistent_First;-0,55341188
905546530; 0,74656730;Learning_Inconsistent_First;-0,74656730
905546531; 0,18632722;Learning_Consistent_First; 0,18632722
905546532; 0,34731609;Learning_Inconsistent_First;-0,34731609
905546533; 0,02134001;Learning_Consistent_First; 0,02134001
905546534; 0,85986929;Learning_Inconsistent_First;-0,85986929
905546535; 0,25439103;Learning_Consistent_First; 0,25439103
905546537;-0,15842615;Learning_Consistent_First;-0,15842615
905546539; 0,06337753;Learning_Consistent_First; 0,06337753
905546540; 0,64062574;Learning_Inconsistent_First;-0,64062574
905546541; 0,49741106;Learning_Consistent_First; 0,49741106
905546543; 0,66280818;Learning_Consistent_First; 0,66280818
905546545; 0,04229611;Learning_Consistent_First; 0,04229611
905546546; 0,13696282;Learning_Inconsistent_First;-0,13696282
905546547; 0,03821135;Learning_Consistent_First; 0,03821135
905546548; 0,36577650;Learning_Inconsistent_First;-0,36577650
905546549; 0,40814297;Learning_Consistent_First; 0,40814297
905546550; 0,48011861;Learning_Inconsistent_First;-0,48011861
905546552;-0,81119686;Learning_Inconsistent_First; 0,81119686
905546553; 0,17977967;Learning_Consistent_First; 0,17977967
905546554;-0,10044695;Learning_Inconsistent_First; 0,10044695
905546555; 0,81926524;Learning_Consistent_First; 0,81926524
905546556; 0,31060071;Learning_Inconsistent_First;-0,31060071
905546557; 0,45155835;Learning_Consistent_First; 0,45155835
905546558; 0,77949807;Learning_Inconsistent_First;-0,77949807
905546560; 0,02700996;Learning_Inconsistent_First;-0,02700996
905546564;-0,53906969;Learning_Inconsistent_First; 0,53906969
905546567; 0,06392106;Learning_Consistent_First; 0,06392106
905546568; 0,58123625;Learning_Inconsistent_First;-0,58123625
905546569; 0,36756709;Learning_Consistent_First; 0,36756709
905546572;-0,23035245;Learning_Inconsistent_First; 0,23035245
905546574;-0,48097139;Learning_Inconsistent_First; 0,48097139
905546576;-0,15533480;Learning_Inconsistent_First; 0,15533480
905546578;-0,06345974;Learning_Inconsistent_First; 0,06345974
905546579;-0,08245079;Learning_Consistent_First;-0,08245079
905546580; 0,83061738;Learning_Inconsistent_First;-0,83061738
905546581;-0,11677104;Learning_Consistent_First;-0,11677104
905546582; 0,24932188;Learning_Inconsistent_First;-0,24932188
905546583; 0,19042976;Learning_Consistent_First; 0,19042976
905546584; 0,19928205;Learning_Inconsistent_First;-0,19928205
905546585;-0,62344210;Learning_Consistent_First;-0,62344210
905546587; 0,99198821;Learning_Consistent_First; 0,99198821
905546588; 0,24554507;Learning_Inconsistent_First;-0,24554507
905546589; 0,28123169;Learning_Consistent_First; 0,28123169
905546590; 0,16143088;Learning_Inconsistent_First;-0,16143088
905546591;-0,64384747;Learning_Consistent_First;-0,64384747
