subject;block_number;mean_correct;sd_correct;block_type;training_performance
124871589;5;1,00;0,0000000;Training;Pass
275096289;5;1,00;0,0000000;Training;Pass
379601181;5;1,00;0,0000000;Training;Pass
455981307;5;1,00;0,0000000;Training;Pass
556411884;5;0,95;0,2236068;Training;Pass
616538237;5;1,00;0,0000000;Training;Pass
750356114;5;1,00;0,0000000;Training;Pass
888776896;5;1,00;0,0000000;Training;Pass
905546448;5;1,00;0,0000000;Training;Pass
905546452;5;0,75;0,4442617;Training;Pass
905546453;5;1,00;0,0000000;Training;Pass
905546455;5;1,00;0,0000000;Training;Pass
905546456;5;1,00;0,0000000;Training;Pass
905546465;5;1,00;0,0000000;Training;Pass
905546467;5;1,00;0,0000000;Training;Pass
905546469;5;1,00;0,0000000;Training;Pass
905546472;5;0,25;0,4442617;Training;Fail
905546474;5;1,00;0,0000000;Training;Pass
905546477;5;1,00;0,0000000;Training;Pass
905546478;5;0,95;0,2236068;Training;Pass
905546480;5;1,00;0,0000000;Training;Pass
905546481;5;1,00;0,0000000;Training;Pass
905546484;5;1,00;0,0000000;Training;Pass
905546486;5;1,00;0,0000000;Training;Pass
905546487;5;1,00;0,0000000;Training;Pass
905546488;5;1,00;0,0000000;Training;Pass
905546489;5;0,90;0,3077935;Training;Pass
905546490;5;1,00;0,0000000;Training;Pass
905546491;5;1,00;0,0000000;Training;Pass
905546492;5;0,95;0,2236068;Training;Pass
905546493;5;1,00;0,0000000;Training;Pass
905546494;5;0,95;0,2236068;Training;Pass
905546495;5;1,00;0,0000000;Training;Pass
905546498;5;1,00;0,0000000;Training;Pass
905546499;5;1,00;0,0000000;Training;Pass
905546502;5;1,00;0,0000000;Training;Pass
905546503;5;0,95;0,2236068;Training;Pass
905546504;5;0,60;0,5026247;Training;Fail
905546505;5;1,00;0,0000000;Training;Pass
905546506;5;1,00;0,0000000;Training;Pass
905546510;5;1,00;0,0000000;Training;Pass
905546511;5;0,85;0,3663475;Training;Pass
905546514;5;1,00;0,0000000;Training;Pass
905546515;5;1,00;0,0000000;Training;Pass
905546516;5;1,00;0,0000000;Training;Pass
905546517;5;1,00;0,0000000;Training;Pass
905546518;5;0,95;0,2236068;Training;Pass
905546519;5;1,00;0,0000000;Training;Pass
905546520;5;1,00;0,0000000;Training;Pass
905546521;5;1,00;0,0000000;Training;Pass
905546523;5;0,60;0,5026247;Training;Fail
905546524;5;1,00;0,0000000;Training;Pass
905546525;5;1,00;0,0000000;Training;Pass
905546526;5;1,00;0,0000000;Training;Pass
905546528;5;0,90;0,3077935;Training;Pass
905546529;5;1,00;0,0000000;Training;Pass
905546530;5;0,85;0,3663475;Training;Pass
905546531;5;0,75;0,4442617;Training;Pass
905546532;5;0,75;0,4442617;Training;Pass
905546533;5;1,00;0,0000000;Training;Pass
905546534;5;0,65;0,4893605;Training;Fail
905546535;5;1,00;0,0000000;Training;Pass
905546537;5;1,00;0,0000000;Training;Pass
905546539;5;1,00;0,0000000;Training;Pass
905546540;5;0,95;0,2236068;Training;Pass
905546541;5;0,75;0,4442617;Training;Pass
905546543;5;0,95;0,2236068;Training;Pass
905546545;5;0,95;0,2236068;Training;Pass
905546546;5;0,90;0,3077935;Training;Pass
905546547;5;1,00;0,0000000;Training;Pass
905546548;5;1,00;0,0000000;Training;Pass
905546549;5;1,00;0,0000000;Training;Pass
905546550;5;1,00;0,0000000;Training;Pass
905546552;5;1,00;0,0000000;Training;Pass
905546553;5;0,70;0,4701623;Training;Pass
905546554;5;1,00;0,0000000;Training;Pass
905546555;5;1,00;0,0000000;Training;Pass
905546556;5;1,00;0,0000000;Training;Pass
905546557;5;1,00;0,0000000;Training;Pass
905546558;5;1,00;0,0000000;Training;Pass
905546560;5;1,00;0,0000000;Training;Pass
905546562;5;1,00;0,0000000;Training;Pass
905546564;5;1,00;0,0000000;Training;Pass
905546567;5;1,00;0,0000000;Training;Pass
905546568;5;1,00;0,0000000;Training;Pass
905546569;5;0,60;0,5026247;Training;Fail
905546572;5;0,70;0,4701623;Training;Pass
905546574;5;0,95;0,2236068;Training;Pass
905546576;5;0,30;0,4701623;Training;Fail
905546578;5;1,00;0,0000000;Training;Pass
905546579;5;0,95;0,2236068;Training;Pass
905546580;5;1,00;0,0000000;Training;Pass
905546581;5;1,00;0,0000000;Training;Pass
905546582;5;0,90;0,3077935;Training;Pass
905546583;5;0,95;0,2236068;Training;Pass
905546584;5;0,25;0,4442617;Training;Fail
905546585;5;0,30;0,4701623;Training;Fail
905546587;5;1,00;0,0000000;Training;Pass
905546588;5;1,00;0,0000000;Training;Pass
905546589;5;1,00;0,0000000;Training;Pass
905546590;5;1,00;0,0000000;Training;Pass
905546591;5;1,00;0,0000000;Training;Pass
