ID;IAT_D2;IAT_order;Reverse_Scored_IAT_D2
  4;-0,15027220;Learning_Inconsistent_First; 0,15027220
  5;-0,84570669;Learning_Consistent_First;-0,84570669
  6; 0,21188694;Learning_Inconsistent_First;-0,21188694
  7;-0,05490581;Learning_Consistent_First;-0,05490581
  8; 1,04704043;Learning_Inconsistent_First;-1,04704043
  9; 0,42876734;Learning_Consistent_First; 0,42876734
 10; 0,66607545;Learning_Inconsistent_First;-0,66607545
 11; 0,38121902;Learning_Consistent_First; 0,38121902
 12; 0,04861631;Learning_Inconsistent_First;-0,04861631
 16; 0,58041252;Learning_Inconsistent_First;-0,58041252
 18; 0,73827634;Learning_Inconsistent_First;-0,73827634
 19;-0,21351749;Learning_Consistent_First;-0,21351749
 21; 0,54992743;Learning_Consistent_First; 0,54992743
 22; 0,30615490;Learning_Inconsistent_First;-0,30615490
 24;-0,87784258;Learning_Inconsistent_First; 0,87784258
 25; 0,05172612;Learning_Consistent_First; 0,05172612
 27;-0,45255298;Learning_Consistent_First;-0,45255298
 29;-0,43900121;Learning_Consistent_First;-0,43900121
 32; 0,56308276;Learning_Inconsistent_First;-0,56308276
 33; 0,59023149;Learning_Consistent_First; 0,59023149
 34;-0,32500040;Learning_Inconsistent_First; 0,32500040
 36;-0,06430230;Learning_Inconsistent_First; 0,06430230
 37; 0,60620662;Learning_Consistent_First; 0,60620662
 38;-0,35864531;Learning_Inconsistent_First; 0,35864531
 39;-0,04713336;Learning_Consistent_First;-0,04713336
 40; 0,02035201;Learning_Inconsistent_First;-0,02035201
 42;-0,14751249;Learning_Inconsistent_First; 0,14751249
 44; 0,56710691;Learning_Inconsistent_First;-0,56710691
 45; 0,67539240;Learning_Consistent_First; 0,67539240
 46; 0,19014758;Learning_Inconsistent_First;-0,19014758
 47; 0,27561103;Learning_Consistent_First; 0,27561103
 48; 0,77154574;Learning_Inconsistent_First;-0,77154574
 49; 0,13077418;Learning_Consistent_First; 0,13077418
 52; 0,50235006;Learning_Inconsistent_First;-0,50235006
 53; 0,60357109;Learning_Consistent_First; 0,60357109
 55;-0,32990391;Learning_Consistent_First;-0,32990391
 56;-0,59841841;Learning_Inconsistent_First; 0,59841841
 63; 0,17881758;Learning_Consistent_First; 0,17881758
 64;-0,42101904;Learning_Inconsistent_First; 0,42101904
 65; 0,08912876;Learning_Consistent_First; 0,08912876
 66; 0,07295025;Learning_Inconsistent_First;-0,07295025
 69; 0,28663909;Learning_Consistent_First; 0,28663909
 71; 0,40196251;Learning_Consistent_First; 0,40196251
 72; 0,83106559;Learning_Inconsistent_First;-0,83106559
 73; 0,63919516;Learning_Consistent_First; 0,63919516
 76; 0,04929454;Learning_Inconsistent_First;-0,04929454
 78; 0,50663177;Learning_Inconsistent_First;-0,50663177
 81;-0,03781516;Learning_Consistent_First;-0,03781516
 82;-0,07849859;Learning_Inconsistent_First; 0,07849859
 83; 0,21342556;Learning_Consistent_First; 0,21342556
 84;-0,30732791;Learning_Inconsistent_First; 0,30732791
 88; 0,27466887;Learning_Inconsistent_First;-0,27466887
 89; 0,87330223;Learning_Consistent_First; 0,87330223
