ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
 94; 0,173802080;Extinction;Learning_Inconsistent_First;-0,173802080
 95; 0,241118523;Acquisition_Only;Learning_Consistent_First; 0,241118523
 95; 0,241118523;Extinction;Learning_Consistent_First; 0,241118523
 96;-0,123603480;Acquisition_Only;Learning_Inconsistent_First; 0,123603480
 96;-0,123603480;Counterconditioning;Learning_Inconsistent_First; 0,123603480
 96;-0,123603480;Extinction;Learning_Inconsistent_First; 0,123603480
 97; 0,456564161;Acquisition_Only;Learning_Consistent_First; 0,456564161
 99; 0,532397865;Acquisition_Only;Learning_Consistent_First; 0,532397865
 99; 0,532397865;Extinction;Learning_Consistent_First; 0,532397865
100; 0,026638850;Acquisition_Only;Learning_Inconsistent_First;-0,026638850
100; 0,026638850;Extinction;Learning_Inconsistent_First;-0,026638850
102;-0,098618855;Acquisition_Only;Learning_Inconsistent_First; 0,098618855
105; 0,234709463;Acquisition_Only;Learning_Consistent_First; 0,234709463
105; 0,234709463;Extinction;Learning_Consistent_First; 0,234709463
109;-0,173094268;Acquisition_Only;Learning_Consistent_First;-0,173094268
111;-0,684394755;Acquisition_Only;Learning_Consistent_First;-0,684394755
112; 0,031851047;Acquisition_Only;Learning_Inconsistent_First;-0,031851047
114; 0,202954329;Acquisition_Only;Learning_Inconsistent_First;-0,202954329
120; 0,131616090;Acquisition_Only;Learning_Inconsistent_First;-0,131616090
121;-0,272752088;Acquisition_Only;Learning_Consistent_First;-0,272752088
122; 0,261313246;Acquisition_Only;Learning_Inconsistent_First;-0,261313246
122; 0,261313246;Counterconditioning;Learning_Inconsistent_First;-0,261313246
122; 0,261313246;Extinction;Learning_Inconsistent_First;-0,261313246
123; 0,843997671;Acquisition_Only;Learning_Consistent_First; 0,843997671
124; 0,328971683;Acquisition_Only;Learning_Inconsistent_First;-0,328971683
124; 0,328971683;Extinction;Learning_Inconsistent_First;-0,328971683
127; 0,057786635;Acquisition_Only;Learning_Consistent_First; 0,057786635
127; 0,057786635;Extinction;Learning_Consistent_First; 0,057786635
128; 0,198762054;Acquisition_Only;Learning_Inconsistent_First;-0,198762054
128; 0,198762054;Extinction;Learning_Inconsistent_First;-0,198762054
129; 0,294012297;Acquisition_Only;Learning_Consistent_First; 0,294012297
130; 0,139150492;Acquisition_Only;Learning_Inconsistent_First;-0,139150492
130; 0,139150492;Extinction;Learning_Inconsistent_First;-0,139150492
131; 0,157676137;Acquisition_Only;Learning_Consistent_First; 0,157676137
131; 0,157676137;Extinction;Learning_Consistent_First; 0,157676137
132; 0,167366037;Acquisition_Only;Learning_Inconsistent_First;-0,167366037
132; 0,167366037;Counterconditioning;Learning_Inconsistent_First;-0,167366037
132; 0,167366037;Extinction;Learning_Inconsistent_First;-0,167366037
133; 0,170613105;Acquisition_Only;Learning_Consistent_First; 0,170613105
133; 0,170613105;Counterconditioning;Learning_Consistent_First; 0,170613105
133; 0,170613105;Extinction;Learning_Consistent_First; 0,170613105
134; 0,417259541;Acquisition_Only;Learning_Inconsistent_First;-0,417259541
134; 0,417259541;Counterconditioning;Learning_Inconsistent_First;-0,417259541
134; 0,417259541;Extinction;Learning_Inconsistent_First;-0,417259541
135;-0,067730072;Acquisition_Only;Learning_Consistent_First;-0,067730072
