subject;training_condition;training_performance;stimulus_identity
 41;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 41;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 42;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 43;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 43;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 44;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 44;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 45;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 47;Acquisition_Only;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 49;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 49;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 50;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 51;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 53;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 53;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 55;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 56;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 57;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 57;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 58;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 59;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 59;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 60;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 60;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 61;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 63;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 64;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 65;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 66;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 66;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 67;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 67;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 68;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 68;Extinction;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 69;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 69;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 70;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 71;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 71;Extinction;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 73;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 74;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 74;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 75;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 76;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 77;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 77;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 78;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 79;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 80;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 80;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
 81;Acquisition_Only;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 83;Acquisition_Only;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 83;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 85;Acquisition_Only;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
