subject;training_condition;training_performance;stimulus_identity
261;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
264;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
270;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
271;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
280;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
282;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
283;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
285;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
290;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
291;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
295;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
311;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
314;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
316;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
321;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
326;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
331;Counterconditioning;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
332;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
337;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
339;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
342;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
344;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
345;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
349;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
355;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
361;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
363;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
364;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
365;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
368;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
371;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
373;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
377;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
380;Counterconditioning;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
386;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
391;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
403;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
409;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
410;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
414;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
428;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
430;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
432;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
434;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
441;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
442;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
446;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
447;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
450;Counterconditioning;Fail;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
451;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
457;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  1;Counterconditioning;NA;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
  1;Extinction;NA;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
 14;Extinction;NA;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
167;Acquisition_Only;NA;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
