subject;stimulus_identity
905546572;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546574;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546576;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546578;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546579;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546580;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546581;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546582;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546583;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546584;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546585;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546587;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546588;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546589;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546590;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546591;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
